Informant,Role,Domain
I-01,Professor,Medicine / Bioengineering
I-02,Research Assistant,Linguistics
I-03,Postdoctoral Researcher,Biology
I-04,Research Director,Information technology
I-05,Professor,Mathematics
I-06,Research Director,Interdisciplinary institute
I-07,Professor,Interdisciplinary institute
I-08,Postdoctoral Researcher,Information science
I-09,Postdoctoral Researcher,Biology
I-10,Postdoctoral Researcher,Biology
I-11,Program Coordinator,Interdisciplinary institute
I-12,Postdoctoral Researcher,Bioinformatics
I-13,Professor,Public Health
I-14,Professor,Biology
I-15,Professor,Computer Science
I-16,Professor,Computer Science
