tool,count
text_editor,3
ask_expert,5
KNIME,1
Java,3
no_change,1
VisIt,1
Excel,7
Tableau,4
Google_Maps,2
JS,6
Illustrator,1
OpenCV,1
unsure,5
tools,1
d3,5
DOT,1
FTLE,1
Python,41
technique,7
spreadsheet,2
PyMol,1
SPSS,1
React,1
ArcGIS,1
JSON,1
HTML,1
MatLab,2
manual_annotation,1
Imaris,1
Amira,1
MegaMol,1
record_animation,2
Ffmpeg,1
web_scraping,4
WebGL,1
C++,6
data_mining,1
graphics_lib,1
R,7
library,3
Perl,1
tool_wish,1
database,3
Trifacta,1
programming,1
Bioconductor,1
API,1
Gephi,1
Paraview,2
SQL,3
PHP,1
camera,3
VMD,1
raytracer,1
